elapsed_s,sys_used_%,sys_avail_GB,main_VN_RSS_GB,n_workers,workers_RSS_sum_GB,worker_RSS_max_GB,virtuoso_GB,sfizz_GB,ffmpeg_GB
2,27,24.9,0.21,1,0.90,0.90,0.04,0.00,0.00
34,37,21.5,0.21,14,4.62,1.49,0.04,1.25,0.00
66,34,22.7,0.21,10,3.45,1.52,0.04,0.00,0.00
98,35,22.1,0.21,12,4.09,1.52,0.04,0.25,0.00
130,38,21.3,0.21,17,4.79,1.50,0.04,0.52,0.00
162,37,21.6,0.21,20,4.63,1.50,0.04,0.18,0.00
194,37,21.7,0.21,17,4.68,1.45,0.04,0.00,0.00
227,40,20.6,0.21,22,5.80,1.49,0.04,0.52,0.00
259,45,18.9,0.21,21,7.67,3.30,0.04,0.00,0.00
291,36,22.0,0.21,21,4.63,0.28,0.04,0.00,0.00
323,40,20.3,0.21,22,6.18,1.49,0.04,0.31,0.00
355,41,20.0,0.21,26,6.57,1.48,0.04,0.16,0.00
387,46,18.6,0.21,30,8.22,2.84,0.04,0.25,0.00
419,48,17.7,0.22,29,9.20,3.19,0.04,0.59,0.00
451,45,18.7,0.21,31,8.13,1.46,0.04,0.43,0.00
483,44,19.2,0.21,29,7.76,1.86,0.04,0.00,0.00
515,45,18.9,0.21,33,8.04,1.47,0.04,0.16,0.00
547,45,18.9,0.21,34,7.97,1.47,0.04,0.31,0.00
579,46,18.3,0.21,29,8.66,2.67,0.04,0.00,0.00
611,42,19.7,0.22,28,7.16,1.61,0.04,0.00,0.00
643,47,18.1,0.22,35,8.74,1.45,0.04,0.81,0.00
676,44,19.2,0.22,29,7.73,1.89,0.04,0.00,0.00
708,45,18.9,0.22,32,7.99,1.43,0.04,0.00,0.00
740,50,17.2,0.22,30,9.77,3.27,0.04,0.00,0.00
772,45,18.7,0.22,32,8.16,1.47,0.04,0.11,0.00
804,44,19.2,0.22,28,7.62,1.48,0.04,0.00,0.00
836,43,19.3,0.22,30,7.40,1.50,0.04,0.31,0.00
868,44,19.0,0.22,29,7.71,2.64,0.04,0.00,0.00
900,46,18.5,0.22,29,8.24,2.59,0.04,0.00,0.00
932,45,18.8,0.21,33,7.96,1.45,0.04,0.93,0.00
964,45,18.7,0.21,37,8.01,1.47,0.04,0.30,0.00
996,44,19.1,0.22,28,7.64,1.80,0.04,0.00,0.00
